,pd
1929-02-28,3.0130124960895657
1929-03-31,3.2029464545626967
1929-04-30,3.2582983673296173
1929-05-31,3.0402503566963857
1929-06-30,2.760228306571776
1929-07-31,2.6416977443867817
1929-08-31,3.1448378104591788
1929-09-30,3.1741922147173685
1929-10-31,3.171956263543958
1929-11-30,3.112966052468762
1929-12-31,2.874166269622615
1930-01-31,3.124165106748989
1930-02-28,3.019452672387673
1930-03-31,2.8123705606886804
1930-04-30,2.6258983412692416
1930-05-31,2.654311032625309
1930-06-30,2.948995471632897
1930-07-31,2.976039241855092
1930-08-31,3.186678424492058
1930-09-30,3.1778178694629324
1930-10-31,2.863550071939665
1930-11-30,2.738207611265866
1930-12-31,2.6420191408777125
1931-01-31,2.6350977920112855
1931-02-28,2.8394736770965014
1931-03-31,2.8963981763063753
1931-04-30,2.8650446841342037
1931-05-31,3.0125834198060337
1931-06-30,3.179516645197044
1931-07-31,3.211188049447386
1931-08-31,3.139743829609037
1931-09-30,3.2299147707150615
1931-10-31,3.4174580828977135
1931-11-30,3.359240143323211
1931-12-31,3.520881444380418
1932-01-31,3.370932983293676
1932-02-29,3.431213932867354
1932-03-31,3.4863159052739823
1932-04-30,3.488055526917644
1932-05-31,3.384669973015757
1932-06-30,3.480463887942797
1932-07-31,3.5307779123712315
1932-08-31,3.4761426270236004
1932-09-30,3.323674115424651
1932-10-31,3.506598673015546
1932-11-30,3.6120195554993773
1932-12-31,3.4795991451046815
1933-01-31,3.0953861526754514
1933-02-28,3.1694103907886015
1933-03-31,3.2235448560412863
1933-04-30,3.065613649375755
1933-05-31,2.9784186199538567
1933-06-30,2.961106472114865
1933-07-31,3.0348998129497358
1933-08-31,3.0431190664584826
1933-09-30,2.917577306877746
1933-10-31,3.208875749974064
1933-11-30,3.1325163968482665
1933-12-31,3.24059074229436
1934-01-31,3.388577451093978
1934-02-28,3.432015357597583
1934-03-31,3.2062665617705197
1934-04-30,3.3376422984041274
1934-05-31,3.311457213367159
1934-06-30,3.4758950595069176
1934-07-31,3.58355097907608
1934-08-31,3.6633861079691754
1934-09-30,3.6451084412430586
1934-10-31,3.734806725727852
1934-11-30,3.8976501450471033
1934-12-31,4.080743380011483
1935-01-31,4.227550584779755
1935-02-28,4.335112680367255
1935-03-31,4.494593239553281
1935-04-30,4.307322139998672
1935-05-31,4.117756774762763
1935-06-30,4.016608994807629
1935-07-31,3.942488472484949
1935-08-31,4.0017122690072116
1935-09-30,3.9652429150507635
1935-10-31,3.9614730272604417
1935-11-30,3.7411699783751784
1935-12-31,3.6864236784064923
1936-01-31,3.8381512441266383
1936-02-29,3.863163127290291
1936-03-31,3.6769227966178204
1936-04-30,3.8311382611696367
1936-05-31,3.868553494097756
1936-06-30,3.822087186089223
